phyrexian,IPA,plural,translation,root,composition,examples,class,native,notes,type,confidence
'əǆɒnii',ʔədʒɒniiʔ,FALSE,Ajani,,,,noun,FALSE,,name,solid
'avričt,ʔavritʃt,FALSE,Avaricta,,,,noun,TRUE,,name,solid
'elš,ʔelʃ,FALSE,Elesh,,,,noun,TRUE,,name,solid
ɢytx,ɢytx,FALSE,Gitaxias,,,,noun,TRUE,,name,solid
ǆes,dʒes,FALSE,Jace,,,,noun,FALSE,,name,solid
ǆi'n,dʒiʔn,FALSE,Jin,,,,noun,TRUE,,name,solid
ǩərrk,k'ərrk,FALSE,K'rrik,,,,noun,TRUE,,name,solid
lyku',lykuʔ,FALSE,Lukka,,,,noun,FALSE,,name,solid
nhirii',nhiriiʔ,FALSE,Nahiri,,,,noun,FALSE,,name,solid
nisə',nisəʔ,FALSE,Nissa,,,,noun,FALSE,,name,solid
norn,norn,FALSE,Norn,,,,noun,TRUE,,name,solid
φyrxkeθəɢð,ɸyrxkeθəɢð,FALSE,Phyrexia (plane),"φyrx,θəɢð",,,noun,TRUE,,composite,solid
šøldrd,ʃøldrd,FALSE,Sheoldred,,,,noun,TRUE,,name,solid
'urbrask,ʔurbrask,FALSE,Urabrask,,,,noun,TRUE,,name,solid
vornχlx,vornχlx,FALSE,Vorinclex,,,,noun,TRUE,,name,solid
vraskə',vraskəʔ,FALSE,Vraska,,,,noun,FALSE,,name,solid
tam'joo',tamʔjooʔ,FALSE,Tamiyo,,,,noun,FALSE,,name,solid
jɒ'gmo'θ,jɒʔgmoʔθ,FALSE,Yawgmoth,,,,noun,TRUE,,name,solid
ɣøπi't,ɣøp'iʔt,FALSE,Basic,,,,adjective,TRUE,,root,solid
ʁajg,ʁajg,FALSE,Legendary,ʁajg,,,adjective,TRUE,,root,solid
qxuna'k,qxunaʔk,qxunaa'k,Artifact,qxuna'k,,,noun,TRUE,,root,solid
φe'x,ɸeʔx,φee'x,Creature,φe'x,,,noun,TRUE,,root,solid
myθž,myθʒ,myyθž,Enchantment,myθž,,,noun,TRUE,,root,solid
ziklʁums,ziklʁums,ziklʁuums,Instant,"zikl,ʁums",,,noun,TRUE,,composite,solid
kašplʁums,kaʃplʁums,kašplʁuums,Sorcery,"kašpl,ʁums",,,noun,TRUE,,composite,solid
θəɢð,θəɢð,θəəɢð,Land,θəɢð,,,noun,TRUE,,root,solid
nmhupment,nmhupment,nmhupment,Planeswalker,ment,,,noun,TRUE,,composite,solid
'ičql,ʔitʃql,'iičql,Plains,'ičql,,,noun,TRUE,,composite,solid
kẅθəɢð,kɯθəɢð,kẅθəəɢð,Island,θəɢð,,,noun,TRUE,,composite,solid
qaškm,qaʃkm,qaaškm,Swamp,qaškm,,,noun,TRUE,,root,solid
ktakx,ktakx,ktaakx,Mountain,ktakx,,,noun,TRUE,,root,solid
